num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
4808,10,4818,0.9979244499792445
3180,8,3188,0.9974905897114178
110,27,137,0.8029197080291971
7433,14,7447,0.998120048341614
34,12,46,0.7391304347826086
374,14,388,0.9639175257731959
6985,9,6994,0.9987131827280527
34,23,57,0.5964912280701754
1145,7,1152,0.9939236111111112
201,24,225,0.8933333333333333
137,9,146,0.9383561643835616
7427,8,7435,0.9989240080699395
1555,19,1574,0.9879288437102922
3893,19,3912,0.9951431492842536
1827,10,1837,0.994556341861731
394,17,411,0.9586374695863747
675,6,681,0.9911894273127754
7436,9,7445,0.9987911349899261
158,26,184,0.8586956521739131
6587,18,6605,0.9972747918243755
763,8,771,0.9896238651102465
1556,18,1574,0.98856416772554
5108,12,5120,0.99765625
159,127,286,0.5559440559440559
458,67,525,0.8723809523809524
2464,30,2494,0.9879711307137129
4009,51,4060,0.9874384236453202
1632,9,1641,0.9945155393053017
2567,45,2612,0.9827718223583461
730,36,766,0.9530026109660574
5108,10,5118,0.9980461117624072
2569,7,2576,0.9972826086956522
1832,7,1839,0.9961935834692768
1630,9,1639,0.9945088468578401
6587,13,6600,0.998030303030303
7436,6,7442,0.999193765116904
1044,16,1060,0.9849056603773585
327,124,451,0.7250554323725056
1630,9,1639,0.9945088468578401
3351,9,3360,0.9973214285714286
1562,18,1580,0.9886075949367089
3724,9,3733,0.9975890704527189
328,43,371,0.8840970350404312
965,8,973,0.9917780061664954
6586,11,6597,0.9983325754130665
2366,7,2373,0.9970501474926253
328,40,368,0.8913043478260869
1513,29,1542,0.9811932555123216
328,9,337,0.973293768545994
2025,9,2034,0.995575221238938
2169,13,2182,0.9940421631530706
74,14,88,0.8409090909090909
771,142,913,0.8444687842278203
76,18,94,0.8085106382978723
75,16,91,0.8241758241758241
527,27,554,0.9512635379061372
2024,97,2121,0.9542668552569543
197,7,204,0.9656862745098039
109,12,121,0.9008264462809917
432,10,442,0.9773755656108597
2025,19,2044,0.9907045009784736
6586,9,6595,0.9986353297952995
7435,9,7444,0.9987909725953789
2648,15,2663,0.9943672549755914
2564,9,2573,0.9965021375825884
3245,15,3260,0.995398773006135
2144,9,2153,0.9958197863446354
2128,13,2141,0.9939280709948622
7436,8,7444,0.99892530897367
250,6,256,0.9765625
1177,23,1200,0.9808333333333333
2743,38,2781,0.9863358504135203
144,18,162,0.8888888888888888
88,19,107,0.822429906542056
6819,82,6901,0.9881176641066513
1179,13,1192,0.9890939597315436
3154,9,3163,0.9971546000632311
7435,13,7448,0.9982545649838883
2656,11,2667,0.995875515560555
236,226,462,0.5108225108225108
90,25,115,0.782608695652174
3631,15,3646,0.9958859023587493
1901,20,1921,0.9895887558563248
318,9,327,0.9724770642201835
4556,16,4572,0.9965004374453194
5925,52,5977,0.9912999832691985
43,33,76,0.5657894736842105
134,18,152,0.881578947368421
163,13,176,0.9261363636363636
3286,15,3301,0.9954559224477431
522,14,536,0.9738805970149254
583,6,589,0.9898132427843803
318,7,325,0.9784615384615385
147,17,164,0.8963414634146342
5025,17,5042,0.996628322094407
4557,9,4566,0.9980289093298291
1468,6,1474,0.9959294436906377
164,18,182,0.9010989010989011
584,24,608,0.9605263157894737
523,9,532,0.9830827067669173
61,9,70,0.8714285714285714
1724,11,1735,0.9936599423631124
1891,16,1907,0.9916098584163607
2507,6,2513,0.9976124154397135
2147,22,2169,0.9898570769940065
3066,6,3072,0.998046875
118,9,127,0.9291338582677166
2657,11,2668,0.9958770614692654
4556,25,4581,0.9945426762715565
5926,121,6047,0.9799900777244915
7435,6,7441,0.9991936567665637
149,20,169,0.8816568047337278
3658,6,3664,0.9983624454148472
3397,7,3404,0.9979435957696827
5927,21,5948,0.9964694014794889
1894,7,1901,0.9963177275118359
2647,6,2653,0.997738409347908
169,25,194,0.8711340206185567
138,29,167,0.8263473053892215
5928,6,5934,0.9989888776541962
154,7,161,0.9565217391304348
1107,13,1120,0.9883928571428572
1894,19,1913,0.9900679560899112
2647,12,2659,0.9954870251974427
1182,18,1200,0.985
1650,11,1661,0.9933774834437086
5538,697,6235,0.8882117080994386
526,7,533,0.9868667917448405
152,15,167,0.9101796407185628
4566,20,4586,0.9956389010030527
7419,6,7425,0.9991919191919192
46,25,71,0.647887323943662
2862,13,2875,0.9954782608695653
1724,32,1756,0.9817767653758542
1724,16,1740,0.9908045977011494
155,30,185,0.8378378378378378
81,15,96,0.84375
1650,13,1663,0.9921828021647625
1364,9,1373,0.9934450109249818
1908,22,1930,0.9886010362694301
123,15,138,0.8913043478260869
81,7,88,0.9204545454545454
1724,15,1739,0.9913743530764807
247,84,331,0.7462235649546828
3854,10,3864,0.9974120082815735
83,6,89,0.9325842696629213
156,21,177,0.8813559322033898
247,71,318,0.7767295597484277
3066,12,3078,0.9961013645224172
3517,11,3528,0.9968820861678005
2081,6,2087,0.9971250598945856
143,12,155,0.9225806451612903
2649,20,2669,0.9925065567628325
2655,9,2664,0.9966216216216216
1724,18,1742,0.9896670493685419
2128,13,2141,0.9939280709948622
3067,9,3076,0.997074122236671
2926,12,2938,0.9959155888359428
1900,46,1946,0.9763617677286742
2047,106,2153,0.9507663725034835
5923,55,5978,0.9907995985279358
2971,9,2980,0.9969798657718121
2156,13,2169,0.9940064545873675
573,6,579,0.9896373056994818
14,10,24,0.5833333333333334
232,6,238,0.9747899159663865
3284,7,3291,0.9978729869340626
1364,9,1373,0.9934450109249818
161,16,177,0.9096045197740112
316,23,339,0.9321533923303835
2084,16,2100,0.9923809523809524
2068,11,2079,0.9947089947089947
1180,39,1219,0.9680065627563577
2654,17,2671,0.9936353425683264
146,16,162,0.9012345679012346
318,11,329,0.9665653495440729
3288,10,3298,0.9969678593086719
252,17,269,0.9368029739776952
35,14,49,0.7142857142857143
337,13,350,0.9628571428571429
109,6,115,0.9478260869565217
148,43,191,0.774869109947644
985,27,1012,0.9733201581027668
2136,8,2144,0.996268656716418
2657,7,2664,0.9973723723723724
3289,15,3304,0.9954600484261501
2136,12,2148,0.994413407821229
135,6,141,0.9574468085106383
181,105,286,0.6328671328671329
3399,10,3409,0.9970665884423585
1067,9,1076,0.991635687732342
5831,11,5842,0.9981170831906881
153,15,168,0.9107142857142857
527,7,534,0.9868913857677902
1905,17,1922,0.9911550468262227
1293,25,1318,0.9810318664643399
1180,6,1186,0.9949409780775716
61,21,82,0.7439024390243902
1278,9,1287,0.993006993006993
65,10,75,0.8666666666666667
217,9,226,0.9601769911504425
287,9,296,0.9695945945945946
3064,15,3079,0.9951282884053264
116,10,126,0.9206349206349206
1638,9,1647,0.994535519125683
3396,7,3403,0.9979429914781075
2077,15,2092,0.9928298279158699
4629,6,4635,0.998705501618123
1084,6,1090,0.9944954128440368
1259,8,1267,0.9936858721389108
7332,26,7358,0.9964664310954063
4081,29,4110,0.9929440389294404
1137,58,1195,0.9514644351464435
1430,12,1442,0.9916782246879334
596,6,602,0.9900332225913622
174,18,192,0.90625
2969,25,2994,0.9916499665998664
2157,7,2164,0.9967652495378928
596,67,663,0.8989441930618401
175,18,193,0.9067357512953368
108,11,119,0.907563025210084
161,11,172,0.936046511627907
3399,19,3418,0.9944411936805149
1278,9,1287,0.993006993006993
296,6,302,0.9801324503311258
4629,6,4635,0.998705501618123
842,7,849,0.9917550058892816
220,6,226,0.9734513274336283
4771,16,4787,0.9966576143722582
1059,9,1068,0.9915730337078652
1087,6,1093,0.9945105215004575
14,9,23,0.6086956521739131
1326,6,1332,0.9954954954954955
627,48,675,0.9288888888888889
4769,9,4778,0.9981163666806195
1326,6,1332,0.9954954954954955
1195,9,1204,0.9925249169435216
40,16,56,0.7142857142857143
2187,13,2200,0.9940909090909091
4083,41,4124,0.9900581959262852
846,12,858,0.986013986013986
1260,19,1279,0.9851446442533229
1197,6,1203,0.9950124688279302
7435,13,7448,0.9982545649838883
6051,13,6064,0.9978562005277045
1196,18,1214,0.985172981878089
847,32,879,0.9635949943117179
7436,11,7447,0.9985228951255539
1257,9,1266,0.9928909952606635
4770,39,4809,0.991890205864005
847,26,873,0.9702176403207331
848,8,856,0.9906542056074766
694,155,849,0.817432273262662
7435,13,7448,0.9982545649838883
847,8,855,0.9906432748538012
1748,15,1763,0.9914917753828701
7335,11,7346,0.9985025864416008
4803,13,4816,0.9973006644518272
1200,6,1206,0.9950248756218906
694,16,710,0.9774647887323944
1490,6,1496,0.9959893048128342
6054,6,6060,0.999009900990099
847,13,860,0.9848837209302326
1201,12,1213,0.9901071723000825
1141,22,1163,0.9810834049871023
377,11,388,0.9716494845360825
7421,13,7434,0.9982512779122948
389,12,401,0.970074812967581
1144,10,1154,0.9913344887348353
3640,14,3654,0.9961685823754789
968,16,984,0.983739837398374
3376,118,3494,0.9662278191184889
2436,7,2443,0.997134670487106
481,11,492,0.9776422764227642
2165,10,2175,0.9954022988505747
103,13,116,0.8879310344827587
3548,15,3563,0.9957900645523435
483,9,492,0.9817073170731707
2113,145,2258,0.9357838795394154
2436,14,2450,0.9942857142857143
2437,13,2450,0.9946938775510205
1292,70,1362,0.9486049926578561
7429,9,7438,0.9987899973111052
7408,12,7420,0.9983827493261456
484,10,494,0.979757085020243
2575,16,2591,0.9938247780779622
2113,123,2236,0.9449910554561717
1282,15,1297,0.9884348496530455
2595,186,2781,0.9331175836030206
1852,12,1864,0.9935622317596566
878,17,895,0.9810055865921787
945,9,954,0.9905660377358491
7419,8,7427,0.9989228490642251
1148,39,1187,0.9671440606571188
55,6,61,0.9016393442622951
239,10,249,0.9598393574297188
55,8,63,0.873015873015873
56,9,65,0.8615384615384616
486,16,502,0.9681274900398407
176,88,264,0.6666666666666666
881,12,893,0.986562150055991
1156,17,1173,0.9855072463768116
971,40,1011,0.960435212660732
1006,7,1013,0.9930898321816387
2860,239,3099,0.9228783478541465
5219,8,5227,0.9984694853644538
1922,6,1928,0.9968879668049793
3378,8,3386,0.997637330183107
2872,20,2892,0.9930843706777317
1175,9,1184,0.9923986486486487
6606,11,6617,0.9983376152334895
2005,13,2018,0.9935579781962339
882,11,893,0.9876819708846585
881,8,889,0.9910011248593926
1292,70,1362,0.9486049926578561
387,10,397,0.9748110831234257
2172,14,2186,0.9935956084172004
2001,6,2007,0.9970104633781763
387,9,396,0.9772727272727273
5423,9,5432,0.9983431516936672
35,17,52,0.6730769230769231
879,14,893,0.9843225083986562
917,11,928,0.9881465517241379
4028,218,4246,0.9486575600565238
3379,7,3386,0.9979326639102185
3945,26,3971,0.9934525308486527
89,8,97,0.9175257731958762
1202,7,1209,0.9942100909842845
6607,11,6618,0.9983378664249017
1294,6,1300,0.9953846153846154
6906,302,7208,0.9581021087680355
917,11,928,0.9881465517241379
1096,16,1112,0.9856115107913669
1291,22,1313,0.9832444782939832
50,66,116,0.43103448275862066
1847,8,1855,0.9956873315363881
736,21,757,0.9722589167767504
5431,12,5443,0.9977953334558148
1575,28,1603,0.982532751091703
727,7,734,0.9904632152588556
45,16,61,0.7377049180327869
2353,12,2365,0.9949260042283298
194,6,200,0.97
5881,6,5887,0.9989808051639205
3253,73,3326,0.9780517137702947
194,6,200,0.97
1233,153,1386,0.8896103896103896
195,13,208,0.9375
195,14,209,0.9330143540669856
2596,13,2609,0.9950172479877347
1258,16,1274,0.9874411302982732
5697,19,5716,0.9966759972008398
1031,9,1040,0.9913461538461539
5699,7,5706,0.9987732211706976
1648,10,1658,0.9939686369119421
552,12,564,0.9787234042553191
1861,9,1870,0.9951871657754011
4681,58,4739,0.9877611310403038
5801,7,5808,0.9987947658402204
729,17,746,0.9772117962466488
879,8,887,0.9909808342728298
5886,8,5894,0.998642687478792
3765,9,3774,0.9976152623211447
3760,13,3773,0.9965544659422211
53,42,95,0.5578947368421052
108,15,123,0.8780487804878049
134,6,140,0.9571428571428572
7436,10,7446,0.9986569970453935
58,13,71,0.8169014084507042
63,8,71,0.8873239436619719
1863,15,1878,0.9920127795527156
65,16,81,0.8024691358024691
2670,6,2676,0.9977578475336323
5801,91,5892,0.9845553292600135
5801,37,5838,0.9936622130866736
52,18,70,0.7428571428571429
92,15,107,0.8598130841121495
1291,48,1339,0.964152352501867
1916,9,1925,0.9953246753246753
