num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
374,44,418,0.8947368421052632
396,109,505,0.7841584158415842
879,55,934,0.9411134903640257
91,16,107,0.8504672897196262
91,16,107,0.8504672897196262
381,84,465,0.8193548387096774
1313,142,1455,0.902405498281787
388,84,472,0.8220338983050848
242,14,256,0.9453125
209,152,361,0.5789473684210527
394,124,518,0.7606177606177607
394,59,453,0.869757174392936
1315,174,1489,0.8831430490261921
2221,15,2236,0.9932915921288015
389,90,479,0.8121085594989561
415,106,521,0.7965451055662188
120,12,132,0.9090909090909091
369,74,443,0.8329571106094809
206,162,368,0.5597826086956522
1353,142,1495,0.9050167224080268
197,152,349,0.5644699140401146
181,154,335,0.5402985074626866
388,54,442,0.8778280542986425
4085,62,4147,0.9850494333252954
2584,170,2754,0.9382716049382716
203,147,350,0.58
126,194,320,0.39375
389,87,476,0.8172268907563025
2548,116,2664,0.9564564564564565
91,16,107,0.8504672897196262
4081,74,4155,0.9821901323706378
181,123,304,0.5953947368421053
191,217,408,0.4681372549019608
27,183,210,0.12857142857142856
203,217,420,0.48333333333333334
398,81,479,0.8308977035490606
126,172,298,0.4228187919463087
209,181,390,0.5358974358974359
209,181,390,0.5358974358974359
28,175,203,0.13793103448275862
437,88,525,0.8323809523809523
181,104,285,0.6350877192982456
203,138,341,0.5953079178885631
200,177,377,0.5305039787798409
4073,58,4131,0.9859598160251755
91,16,107,0.8504672897196262
1087,401,1488,0.730510752688172
382,64,446,0.8565022421524664
412,102,514,0.8015564202334631
194,217,411,0.4720194647201946
203,217,420,0.48333333333333334
200,217,417,0.47961630695443647
64,174,238,0.2689075630252101
458,123,581,0.7882960413080895
1352,158,1510,0.895364238410596
874,404,1278,0.6838810641627543
378,58,436,0.8669724770642202
91,16,107,0.8504672897196262
4074,50,4124,0.9878758486905916
389,89,478,0.8138075313807531
212,183,395,0.5367088607594936
1085,394,1479,0.7336037863421231
407,131,538,0.7565055762081785
396,82,478,0.8284518828451883
1029,399,1428,0.7205882352941176
962,399,1361,0.7068332108743571
203,217,420,0.48333333333333334
898,94,992,0.905241935483871
181,253,434,0.41705069124423966
320,18,338,0.9467455621301775
1119,414,1533,0.7299412915851272
124,157,281,0.4412811387900356
1313,179,1492,0.8800268096514745
1096,383,1479,0.7410412440838404
400,102,502,0.796812749003984
1057,424,1481,0.7137069547602971
203,162,365,0.5561643835616439
1314,216,1530,0.8588235294117647
2,93,95,0.021052631578947368
1065,409,1474,0.7225237449118046
372,60,432,0.8611111111111112
4094,82,4176,0.9803639846743295
1104,394,1498,0.7369826435246996
1075,415,1490,0.7214765100671141
4088,37,4125,0.991030303030303
1225,372,1597,0.7670632435817157
1118,426,1544,0.7240932642487047
380,102,482,0.7883817427385892
1133,385,1518,0.7463768115942029
42,167,209,0.20095693779904306
2590,50,2640,0.9810606060606061
1140,377,1517,0.7514831905075807
126,203,329,0.3829787234042553
431,84,515,0.8368932038834952
1115,421,1536,0.7259114583333334
206,179,385,0.535064935064935
400,91,491,0.814663951120163
1123,396,1519,0.739302172481896
862,379,1241,0.6946011281224819
859,422,1281,0.6705698672911787
890,402,1292,0.6888544891640866
1192,419,1611,0.7399130974549969
899,403,1302,0.6904761904761905
163,224,387,0.42118863049095606
181,212,393,0.46055979643765904
416,88,504,0.8253968253968254
1163,426,1589,0.7319068596601637
243,14,257,0.9455252918287937
1041,428,1469,0.7086453369639211
1350,146,1496,0.9024064171122995
1104,396,1500,0.736
1127,426,1553,0.7256922086284611
1114,414,1528,0.7290575916230366
1083,396,1479,0.7322515212981744
1313,173,1486,0.8835800807537012
888,395,1283,0.6921278254091972
13,130,143,0.09090909090909091
874,89,963,0.9075804776739356
1065,395,1460,0.7294520547945206
1157,426,1583,0.7308907138344914
1077,390,1467,0.7341513292433538
2903,59,2962,0.9800810263335584
4079,27,4106,0.9934242571846079
1149,411,1560,0.7365384615384616
996,389,1385,0.7191335740072202
990,394,1384,0.7153179190751445
197,183,380,0.5184210526315789
4107,49,4156,0.9882098171318575
197,217,414,0.4758454106280193
1378,407,1785,0.7719887955182073
1214,421,1635,0.7425076452599388
1016,375,1391,0.7304097771387491
1186,398,1584,0.7487373737373737
4076,60,4136,0.9854932301740812
1100,426,1526,0.7208387942332897
218,217,435,0.5011494252873563
1232,419,1651,0.7462144155057541
975,416,1391,0.7009345794392523
209,217,426,0.49061032863849763
181,85,266,0.6804511278195489
1029,388,1417,0.726182074805928
888,418,1306,0.6799387442572741
1113,375,1488,0.7479838709677419
1035,520,1555,0.6655948553054662
1009,425,1434,0.703626220362622
869,450,1319,0.6588324488248674
1183,431,1614,0.7329615861214375
972,395,1367,0.7110460863204097
1097,396,1493,0.7347622237106497
206,183,389,0.5295629820051414
181,208,389,0.4652956298200514
1316,200,1516,0.8680738786279684
908,456,1364,0.6656891495601173
1094,422,1516,0.7216358839050132
996,422,1418,0.7023977433004231
420,89,509,0.825147347740668
1112,385,1497,0.7428189712758851
1133,396,1529,0.7410071942446043
890,403,1293,0.6883217324052591
833,36,869,0.9585730724971231
1093,426,1519,0.7195523370638578
206,211,417,0.4940047961630695
898,454,1352,0.6642011834319527
1312,180,1492,0.8793565683646113
1129,396,1525,0.740327868852459
375,67,442,0.8484162895927602
862,425,1287,0.6697746697746698
167,179,346,0.48265895953757226
914,414,1328,0.6882530120481928
209,217,426,0.49061032863849763
982,594,1576,0.6230964467005076
200,161,361,0.554016620498615
1313,156,1469,0.8938053097345132
999,416,1415,0.7060070671378091
1084,397,1481,0.7319378798109386
399,106,505,0.7900990099009901
1065,594,1659,0.6419529837251357
1036,446,1482,0.699055330634278
1243,398,1641,0.7574649603900061
1128,384,1512,0.746031746031746
1000,375,1375,0.7272727272727273
992,56,1048,0.9465648854961832
920,87,1007,0.913604766633565
1040,388,1428,0.7282913165266106
411,101,512,0.802734375
900,91,991,0.9081735620585267
1018,425,1443,0.7054747054747055
4082,44,4126,0.9893359185651963
395,99,494,0.7995951417004049
209,217,426,0.49061032863849763
181,113,294,0.6156462585034014
1118,414,1532,0.7297650130548303
972,392,1364,0.7126099706744868
1847,53,1900,0.9721052631578947
392,96,488,0.8032786885245902
197,217,414,0.4758454106280193
975,409,1384,0.7044797687861272
1025,443,1468,0.6982288828337875
1027,388,1415,0.7257950530035335
1143,409,1552,0.7364690721649485
1028,394,1422,0.7229254571026723
874,402,1276,0.6849529780564263
997,492,1489,0.6695768972464742
72,245,317,0.22712933753943218
851,397,1248,0.6818910256410257
408,91,499,0.8176352705410822
1113,531,1644,0.677007299270073
1313,170,1483,0.8853674983142279
1083,426,1509,0.7176938369781312
1139,394,1533,0.7429876060013046
978,437,1415,0.6911660777385159
26,146,172,0.1511627906976744
386,61,447,0.8635346756152126
1074,411,1485,0.7232323232323232
209,162,371,0.5633423180592992
1099,455,1554,0.7072072072072072
120,12,132,0.9090909090909091
126,173,299,0.4214046822742475
416,140,556,0.7482014388489209
4074,40,4114,0.9902771025765679
394,83,477,0.8259958071278826
1043,399,1442,0.7233009708737864
1099,396,1495,0.7351170568561873
857,91,948,0.9040084388185654
209,217,426,0.49061032863849763
1109,365,1474,0.7523744911804613
993,441,1434,0.6924686192468619
888,418,1306,0.6799387442572741
2294,72,2366,0.9695688926458157
1141,388,1529,0.7462393721386528
1067,394,1461,0.730321697467488
1116,423,1539,0.7251461988304093
416,79,495,0.8404040404040404
1126,520,1646,0.68408262454435
203,179,382,0.5314136125654451
379,144,523,0.7246653919694073
56,164,220,0.2545454545454545
1232,410,1642,0.7503045066991474
209,162,371,0.5633423180592992
206,162,368,0.5597826086956522
1083,378,1461,0.7412731006160165
171,183,354,0.4830508474576271
982,429,1411,0.6959603118355776
2208,87,2295,0.9620915032679739
374,54,428,0.8738317757009346
1019,413,1432,0.7115921787709497
126,205,331,0.3806646525679758
1147,396,1543,0.7433570965651328
1078,428,1506,0.7158034528552457
883,413,1296,0.6813271604938271
169,217,386,0.4378238341968912
1094,429,1523,0.7183191070256073
1001,427,1428,0.7009803921568627
391,93,484,0.8078512396694215
4081,38,4119,0.9907744598203447
