time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.371,0.419,0.4060476190476191,0.41200000000000003,0.013091168198723002,0.18,0.203,0.19760000000000003,0.1995,0.005825804665451809,3.206,3.729,3.6113999999999997,3.6575,0.1326964204490837,0.253,0.275,0.27055,0.272,0.00549977272257682,1.184,1.3840000000000001,1.3403,1.3530000000000002,0.05175818775807361,0.178,0.202,0.19674999999999998,0.198,0.006023910689909012,6.12,7.189,6.94615,7.0085,0.29019963387296,0.467,0.51,0.49965000000000004,0.502,0.011900735271402346,2.68,3.106,3.0208500000000003,3.0440000000000005,0.09865661407123194,0.117,0.117,0.11700000000000002,0.117,1.3877787807814457e-17,32,32,4096,11008,32768,True,4096,1
0.40800000000000003,0.417,0.411952380952381,0.41200000000000003,0.002627259852215939,0.196,0.20400000000000001,0.19950000000000004,0.2,0.0016881943016134149,3.586,3.708,3.6515999999999997,3.6605,0.03209890963880242,0.27,0.276,0.2725,0.272,0.001565247584249854,1.33,1.3860000000000001,1.3551,1.353,0.011627123461974606,0.195,0.202,0.19855,0.198,0.0014309088021254197,6.906000000000001,7.181,7.03655,7.0045,0.060571837515465826,0.498,0.509,0.5028000000000001,0.502,0.002657066051117287,2.991,3.11,3.0446999999999997,3.036,0.02595014450826811,0.116,0.117,0.11695,0.117,0.00021794494717703385,32,32,4096,11008,32768,True,4096,1
0.399,0.417,0.4098571428571429,0.41100000000000003,0.004389226141639204,0.193,0.201,0.1975,0.198,0.001884144368141679,3.543,3.733,3.6417500000000005,3.6385,0.04758768222975352,0.265,0.273,0.27015,0.27,0.002219797288042313,1.31,1.389,1.3463,1.3455,0.020445292856792245,0.192,0.201,0.19690000000000002,0.197,0.002188606862823931,6.805,7.224,7.004650000000001,6.978,0.10001913566913086,0.491,0.508,0.49924999999999997,0.498,0.003985912693474361,2.955,3.129,3.046,3.043,0.038866437963878286,0.115,0.116,0.11585000000000001,0.116,0.00035707142142714284,32,32,4096,11008,32768,True,4064,1
0.4,0.41600000000000004,0.40776190476190477,0.40700000000000003,0.004534573659854256,0.193,0.2,0.19665,0.1965,0.0018513508581573634,3.563,3.754,3.6611,3.6590000000000003,0.046473540859288946,0.264,0.272,0.26870000000000005,0.2685,0.00200249843945008,1.317,1.3820000000000001,1.3464,1.3445,0.018396738841436017,0.193,0.199,0.19565,0.1955,0.0018241436346954716,6.881,7.214,7.014099999999999,6.9975000000000005,0.0894700508550207,0.489,0.503,0.4960499999999999,0.4955,0.003427462618322776,2.985,3.154,3.05855,3.0505000000000004,0.041614270388894245,0.114,0.115,0.1147,0.115,0.0004582575694955844,32,32,4096,11008,32768,True,4032,1
0.391,0.41100000000000003,0.40309523809523806,0.403,0.004406756305241633,0.188,0.199,0.19480000000000003,0.1945,0.0021817424229271447,3.482,3.742,3.6432500000000005,3.6515000000000004,0.04921674003832434,0.26,0.269,0.26585000000000003,0.266,0.002151162476429897,1.283,1.3800000000000001,1.34015,1.339,0.01933203300224789,0.187,0.198,0.19380000000000003,0.194,0.0020396078054371156,6.682,7.202,6.974300000000001,6.977,0.09932477032442613,0.48,0.5,0.49090000000000006,0.4905,0.0044485952839070485,2.9130000000000003,3.1350000000000002,3.0420000000000003,3.0490000000000004,0.042869569626950994,0.114,0.114,0.11399999999999999,0.114,1.3877787807814457e-17,32,32,4096,11008,32768,True,4000,1
0.392,0.40900000000000003,0.40328571428571436,0.405,0.004142036043425268,0.189,0.199,0.19510000000000002,0.196,0.00236431808350738,3.754,3.986,3.8907499999999997,3.909,0.056755506340794834,0.26,0.269,0.26464999999999994,0.265,0.0024140215409146643,1.287,1.358,1.32805,1.331,0.017681840967501153,0.189,0.198,0.19405000000000003,0.1945,0.002132486811213614,6.682,7.054,6.883699999999999,6.8715,0.0941085012100395,0.481,0.498,0.4899,0.49,0.004624932431938875,2.975,3.138,3.07205,3.0675,0.03936429219483055,0.113,0.113,0.11300000000000002,0.113,1.3877787807814457e-17,32,32,4096,11008,32768,True,3968,1
0.382,0.406,0.3973809523809524,0.398,0.005686041308295011,0.185,0.197,0.19235,0.192,0.002743628983663792,3.66,3.95,3.8406,3.851,0.07141456434089617,0.253,0.266,0.26114999999999994,0.262,0.0031980462785894796,1.2510000000000001,1.353,1.31025,1.318,0.027057115515146814,0.184,0.196,0.1911,0.192,0.003047950130825637,6.507000000000001,7.029,6.815900000000001,6.848,0.12993840848648247,0.47100000000000003,0.494,0.4847,0.485,0.005311308689955793,2.9170000000000003,3.137,3.0543000000000005,3.0605,0.05181032715588656,0.111,0.112,0.11150000000000002,0.1115,0.0005000000000000004,32,32,4096,11008,32768,True,3936,1
0.391,0.401,0.39633333333333337,0.396,0.002766006805991928,0.189,0.194,0.19185000000000002,0.192,0.0012359207094308287,3.787,3.8930000000000002,3.8591500000000005,3.865,0.032226192763030514,0.257,0.265,0.26034999999999997,0.26,0.0016815171720800254,1.298,1.335,1.3216999999999999,1.319,0.011467780953610856,0.189,0.193,0.19120000000000004,0.191,0.0014000000000000013,6.74,6.924,6.855849999999999,6.8415,0.060896038458999935,0.47800000000000004,0.486,0.48274999999999996,0.482,0.002426417111710177,3.02,3.114,3.0767999999999995,3.0745,0.02595881353220906,0.11,0.111,0.11090000000000003,0.111,0.0003000000000000003,32,32,4096,11008,32768,True,3904,1
0.38,0.398,0.3920952380952381,0.393,0.003650241504140345,0.184,0.193,0.18954999999999997,0.19,0.0019868316486305547,3.681,3.884,3.8245499999999995,3.829,0.04759146457086605,0.25,0.26,0.2569,0.257,0.0021424285285628567,1.2630000000000001,1.332,1.3110499999999998,1.313,0.015402840647101427,0.184,0.192,0.18865,0.189,0.0018513508581573632,6.5600000000000005,6.91,6.796199999999999,6.8125,0.080276148387924,0.466,0.482,0.47630000000000006,0.47750000000000004,0.004220189569201828,2.96,3.109,3.0543500000000003,3.0605,0.039055441362248096,0.109,0.11,0.10980000000000001,0.11,0.00040000000000000034,32,32,4096,11008,32768,True,3872,1
0.383,0.396,0.3902857142857143,0.39,0.003149343955006946,0.185,0.192,0.1889,0.189,0.0016401219466856739,3.641,3.835,3.7614000000000005,3.7649999999999997,0.04366165365626914,0.252,0.26,0.25579999999999997,0.256,0.0018601075237738292,1.2550000000000001,1.317,1.29215,1.2945,0.013936552658387205,0.184,0.191,0.18805,0.188,0.001596088969951238,6.485,6.831,6.6713000000000005,6.656000000000001,0.07521575632804599,0.466,0.481,0.47450000000000003,0.47400000000000003,0.003556683848755746,2.833,2.976,2.91385,2.9090000000000003,0.032278901778096454,0.109,0.109,0.10900000000000001,0.109,1.3877787807814457e-17,32,32,4096,11008,32768,True,3840,1
